id,user_name,user_id,match_id,home_team,away_team,match_date,picked_team,created_at
37,Jennie,2,6,Brazil,Morocco,2026-06-13,Brazil,2026-06-28 16:32:59
38,Daphne,3,6,Brazil,Morocco,2026-06-13,Brazil,2026-06-28 16:32:59
39,Elliot,4,6,Brazil,Morocco,2026-06-13,Brazil,2026-06-28 16:32:59
40,Wyatt,5,6,Brazil,Morocco,2026-06-13,Morocco,2026-06-28 16:32:59
41,Grandpa By,6,6,Brazil,Morocco,2026-06-13,Brazil,2026-06-28 16:32:59
42,Grandma Cathy,7,6,Brazil,Morocco,2026-06-13,Brazil,2026-06-28 16:32:59
43,Shawn,1,7,Haiti,Scotland,2026-06-13,Haiti,2026-06-28 16:32:59
44,Jennie,2,7,Haiti,Scotland,2026-06-13,Scotland,2026-06-28 16:32:59
45,Daphne,3,7,Haiti,Scotland,2026-06-13,Scotland,2026-06-28 16:32:59
46,Elliot,4,7,Haiti,Scotland,2026-06-13,Haiti,2026-06-28 16:32:59
47,Wyatt,5,7,Haiti,Scotland,2026-06-13,Scotland,2026-06-28 16:32:59
48,Grandpa By,6,7,Haiti,Scotland,2026-06-13,Haiti,2026-06-28 16:32:59
49,Grandma Cathy,7,7,Haiti,Scotland,2026-06-13,Scotland,2026-06-28 16:32:59
50,Shawn,1,8,Australia,Türkiye,2026-06-14,Türkiye,2026-06-28 16:32:59
51,Jennie,2,8,Australia,Türkiye,2026-06-14,Australia,2026-06-28 16:32:59
52,Daphne,3,8,Australia,Türkiye,2026-06-14,Australia,2026-06-28 16:32:59
53,Elliot,4,8,Australia,Türkiye,2026-06-14,Australia,2026-06-28 16:32:59
54,Wyatt,5,8,Australia,Türkiye,2026-06-14,Australia,2026-06-28 16:32:59
55,Grandpa By,6,8,Australia,Türkiye,2026-06-14,Australia,2026-06-28 16:32:59
56,Grandma Cathy,7,8,Australia,Türkiye,2026-06-14,Australia,2026-06-28 16:32:59
57,Shawn,1,9,Germany,Curaçao,2026-06-14,Germany,2026-06-28 16:32:59
58,Jennie,2,9,Germany,Curaçao,2026-06-14,Germany,2026-06-28 16:32:59
59,Daphne,3,9,Germany,Curaçao,2026-06-14,Germany,2026-06-28 16:32:59
60,Elliot,4,9,Germany,Curaçao,2026-06-14,Curaçao,2026-06-28 16:32:59
61,Wyatt,5,9,Germany,Curaçao,2026-06-14,Curaçao,2026-06-28 16:32:59
62,Grandpa By,6,9,Germany,Curaçao,2026-06-14,Germany,2026-06-28 16:32:59
63,Grandma Cathy,7,9,Germany,Curaçao,2026-06-14,Curaçao,2026-06-28 16:32:59
64,Shawn,1,10,Netherlands,Japan,2026-06-14,Japan,2026-06-28 16:32:59
65,Jennie,2,10,Netherlands,Japan,2026-06-14,Japan,2026-06-28 16:32:59
66,Daphne,3,10,Netherlands,Japan,2026-06-14,Japan,2026-06-28 16:32:59
67,Elliot,4,10,Netherlands,Japan,2026-06-14,Japan,2026-06-28 16:32:59
68,Wyatt,5,10,Netherlands,Japan,2026-06-14,Japan,2026-06-28 16:32:59
69,Grandpa By,6,10,Netherlands,Japan,2026-06-14,Netherlands,2026-06-28 16:32:59
70,Grandma Cathy,7,10,Netherlands,Japan,2026-06-14,Japan,2026-06-28 16:32:59
71,Shawn,1,11,Ivory Coast,Ecuador,2026-06-14,Ecuador,2026-06-28 16:32:59
72,Jennie,2,11,Ivory Coast,Ecuador,2026-06-14,Ecuador,2026-06-28 16:32:59
73,Daphne,3,11,Ivory Coast,Ecuador,2026-06-14,Ecuador,2026-06-28 16:32:59
74,Elliot,4,11,Ivory Coast,Ecuador,2026-06-14,Ecuador,2026-06-28 16:32:59
75,Wyatt,5,11,Ivory Coast,Ecuador,2026-06-14,Ecuador,2026-06-28 16:32:59
76,Grandpa By,6,11,Ivory Coast,Ecuador,2026-06-14,Ecuador,2026-06-28 16:32:59
77,Grandma Cathy,7,11,Ivory Coast,Ecuador,2026-06-14,Ecuador,2026-06-28 16:32:59
78,Shawn,1,12,Sweden,Tunisia,2026-06-14,Sweden,2026-06-28 16:32:59
79,Jennie,2,12,Sweden,Tunisia,2026-06-14,Sweden,2026-06-28 16:32:59
80,Daphne,3,12,Sweden,Tunisia,2026-06-14,Sweden,2026-06-28 16:32:59
81,Elliot,4,12,Sweden,Tunisia,2026-06-14,Sweden,2026-06-28 16:32:59
82,Wyatt,5,12,Sweden,Tunisia,2026-06-14,Tunisia,2026-06-28 16:32:59
83,Grandpa By,6,12,Sweden,Tunisia,2026-06-14,Sweden,2026-06-28 16:32:59
84,Grandma Cathy,7,12,Sweden,Tunisia,2026-06-14,Sweden,2026-06-28 16:32:59
85,Shawn,1,13,Spain,Cape Verde,2026-06-15,Spain,2026-06-28 16:32:59
86,Jennie,2,13,Spain,Cape Verde,2026-06-15,Cape Verde,2026-06-28 16:32:59
87,Daphne,3,13,Spain,Cape Verde,2026-06-15,Spain,2026-06-28 16:32:59
88,Elliot,4,13,Spain,Cape Verde,2026-06-15,Cape Verde,2026-06-28 16:32:59
89,Wyatt,5,13,Spain,Cape Verde,2026-06-15,Cape Verde,2026-06-28 16:32:59
90,Grandpa By,6,13,Spain,Cape Verde,2026-06-15,Spain,2026-06-28 16:32:59
91,Grandma Cathy,7,13,Spain,Cape Verde,2026-06-15,Spain,2026-06-28 16:32:59
92,Shawn,1,14,Belgium,Egypt,2026-06-15,Belgium,2026-06-28 16:32:59
93,Jennie,2,14,Belgium,Egypt,2026-06-15,Egypt,2026-06-28 16:32:59
94,Daphne,3,14,Belgium,Egypt,2026-06-15,Belgium,2026-06-28 16:32:59
95,Elliot,4,14,Belgium,Egypt,2026-06-15,Egypt,2026-06-28 16:32:59
96,Wyatt,5,14,Belgium,Egypt,2026-06-15,Egypt,2026-06-28 16:32:59
97,Grandpa By,6,14,Belgium,Egypt,2026-06-15,Belgium,2026-06-28 16:32:59
98,Grandma Cathy,7,14,Belgium,Egypt,2026-06-15,Egypt,2026-06-28 16:32:59
99,Shawn,1,15,Saudi Arabia,Uruguay,2026-06-15,Uruguay,2026-06-28 16:32:59
100,Jennie,2,15,Saudi Arabia,Uruguay,2026-06-15,Saudi Arabia,2026-06-28 16:32:59
101,Daphne,3,15,Saudi Arabia,Uruguay,2026-06-15,Uruguay,2026-06-28 16:32:59
102,Elliot,4,15,Saudi Arabia,Uruguay,2026-06-15,Uruguay,2026-06-28 16:32:59
103,Wyatt,5,15,Saudi Arabia,Uruguay,2026-06-15,Uruguay,2026-06-28 16:32:59
104,Grandpa By,6,15,Saudi Arabia,Uruguay,2026-06-15,Uruguay,2026-06-28 16:32:59
105,Grandma Cathy,7,15,Saudi Arabia,Uruguay,2026-06-15,Saudi Arabia,2026-06-28 16:32:59
106,Shawn,1,16,Iran,New Zealand,2026-06-15,Iran,2026-06-28 16:32:59
107,Jennie,2,16,Iran,New Zealand,2026-06-15,New Zealand,2026-06-28 16:32:59
108,Daphne,3,16,Iran,New Zealand,2026-06-15,New Zealand,2026-06-28 16:32:59
109,Elliot,4,16,Iran,New Zealand,2026-06-15,New Zealand,2026-06-28 16:32:59
110,Wyatt,5,16,Iran,New Zealand,2026-06-15,New Zealand,2026-06-28 16:32:59
111,Grandpa By,6,16,Iran,New Zealand,2026-06-15,New Zealand,2026-06-28 16:32:59
112,Grandma Cathy,7,16,Iran,New Zealand,2026-06-15,New Zealand,2026-06-28 16:32:59
113,Shawn,1,17,France,Senegal,2026-06-16,France,2026-06-28 16:32:59
114,Jennie,2,17,France,Senegal,2026-06-16,France,2026-06-28 16:32:59
115,Daphne,3,17,France,Senegal,2026-06-16,France,2026-06-28 16:32:59
116,Elliot,4,17,France,Senegal,2026-06-16,Senegal,2026-06-28 16:32:59
117,Wyatt,5,17,France,Senegal,2026-06-16,Senegal,2026-06-28 16:32:59
118,Grandpa By,6,17,France,Senegal,2026-06-16,France,2026-06-28 16:32:59
119,Grandma Cathy,7,17,France,Senegal,2026-06-16,Senegal,2026-06-28 16:32:59
120,Shawn,1,18,Iraq,Norway,2026-06-16,Norway,2026-06-28 16:32:59
121,Jennie,2,18,Iraq,Norway,2026-06-16,Iraq,2026-06-28 16:32:59
122,Daphne,3,18,Iraq,Norway,2026-06-16,Norway,2026-06-28 16:32:59
123,Elliot,4,18,Iraq,Norway,2026-06-16,Norway,2026-06-28 16:32:59
124,Wyatt,5,18,Iraq,Norway,2026-06-16,Norway,2026-06-28 16:32:59
125,Grandpa By,6,18,Iraq,Norway,2026-06-16,Norway,2026-06-28 16:32:59
126,Grandma Cathy,7,18,Iraq,Norway,2026-06-16,Iraq,2026-06-28 16:32:59
127,Shawn,1,19,Argentina,Algeria,2026-06-16,Argentina,2026-06-28 16:32:59
128,Jennie,2,19,Argentina,Algeria,2026-06-16,Argentina,2026-06-28 16:32:59
129,Daphne,3,19,Argentina,Algeria,2026-06-16,Argentina,2026-06-28 16:32:59
130,Elliot,4,19,Argentina,Algeria,2026-06-16,Argentina,2026-06-28 16:32:59
131,Wyatt,5,19,Argentina,Algeria,2026-06-16,Argentina,2026-06-28 16:32:59
132,Grandpa By,6,19,Argentina,Algeria,2026-06-16,Argentina,2026-06-28 16:32:59
133,Grandma Cathy,7,19,Argentina,Algeria,2026-06-16,Argentina,2026-06-28 16:32:59
134,Shawn,1,20,Austria,Jordan,2026-06-17,Austria,2026-06-28 16:32:59
135,Jennie,2,20,Austria,Jordan,2026-06-17,Austria,2026-06-28 16:32:59
136,Daphne,3,20,Austria,Jordan,2026-06-17,Austria,2026-06-28 16:32:59
137,Elliot,4,20,Austria,Jordan,2026-06-17,Austria,2026-06-28 16:32:59
138,Wyatt,5,20,Austria,Jordan,2026-06-17,Jordan,2026-06-28 16:32:59
139,Grandpa By,6,20,Austria,Jordan,2026-06-17,Austria,2026-06-28 16:32:59
140,Grandma Cathy,7,20,Austria,Jordan,2026-06-17,Austria,2026-06-28 16:32:59
141,Shawn,1,21,Portugal,DR Congo,2026-06-17,Portugal,2026-06-28 16:32:59
142,Jennie,2,21,Portugal,DR Congo,2026-06-17,Portugal,2026-06-28 16:32:59
143,Daphne,3,21,Portugal,DR Congo,2026-06-17,Portugal,2026-06-28 16:32:59
144,Elliot,4,21,Portugal,DR Congo,2026-06-17,DR Congo,2026-06-28 16:32:59
145,Wyatt,5,21,Portugal,DR Congo,2026-06-17,Portugal,2026-06-28 16:32:59
146,Grandpa By,6,21,Portugal,DR Congo,2026-06-17,Portugal,2026-06-28 16:32:59
147,Grandma Cathy,7,21,Portugal,DR Congo,2026-06-17,Portugal,2026-06-28 16:32:59
148,Shawn,1,22,England,Croatia,2026-06-17,England,2026-06-28 16:32:59
149,Jennie,2,22,England,Croatia,2026-06-17,Croatia,2026-06-28 16:32:59
150,Daphne,3,22,England,Croatia,2026-06-17,Croatia,2026-06-28 16:32:59
151,Elliot,4,22,England,Croatia,2026-06-17,England,2026-06-28 16:32:59
152,Wyatt,5,22,England,Croatia,2026-06-17,England,2026-06-28 16:32:59
153,Grandpa By,6,22,England,Croatia,2026-06-17,England,2026-06-28 16:32:59
154,Grandma Cathy,7,22,England,Croatia,2026-06-17,England,2026-06-28 16:32:59
155,Shawn,1,23,Ghana,Panama,2026-06-17,Ghana,2026-06-28 16:32:59
156,Jennie,2,23,Ghana,Panama,2026-06-17,Ghana,2026-06-28 16:32:59
157,Daphne,3,23,Ghana,Panama,2026-06-17,Ghana,2026-06-28 16:32:59
158,Elliot,4,23,Ghana,Panama,2026-06-17,Panama,2026-06-28 16:32:59
159,Wyatt,5,23,Ghana,Panama,2026-06-17,Ghana,2026-06-28 16:32:59
160,Grandpa By,6,23,Ghana,Panama,2026-06-17,Ghana,2026-06-28 16:32:59
161,Grandma Cathy,7,23,Ghana,Panama,2026-06-17,Panama,2026-06-28 16:32:59
162,Shawn,1,24,Uzbekistan,Colombia,2026-06-17,Colombia,2026-06-28 16:32:59
163,Jennie,2,24,Uzbekistan,Colombia,2026-06-17,Uzbekistan,2026-06-28 16:32:59
164,Daphne,3,24,Uzbekistan,Colombia,2026-06-17,Colombia,2026-06-28 16:32:59
165,Elliot,4,24,Uzbekistan,Colombia,2026-06-17,Uzbekistan,2026-06-28 16:32:59
166,Wyatt,5,24,Uzbekistan,Colombia,2026-06-17,Colombia,2026-06-28 16:32:59
167,Grandpa By,6,24,Uzbekistan,Colombia,2026-06-17,Colombia,2026-06-28 16:32:59
168,Grandma Cathy,7,24,Uzbekistan,Colombia,2026-06-17,Colombia,2026-06-28 16:32:59
169,Shawn,1,25,Czechia,South Africa,2026-06-18,Czechia,2026-06-28 16:32:59
170,Jennie,2,25,Czechia,South Africa,2026-06-18,South Africa,2026-06-28 16:32:59
171,Daphne,3,25,Czechia,South Africa,2026-06-18,South Africa,2026-06-28 16:32:59
172,Elliot,4,25,Czechia,South Africa,2026-06-18,South Africa,2026-06-28 16:32:59
173,Wyatt,5,25,Czechia,South Africa,2026-06-18,South Africa,2026-06-28 16:32:59
174,Grandpa By,6,25,Czechia,South Africa,2026-06-18,South Africa,2026-06-28 16:32:59
175,Grandma Cathy,7,25,Czechia,South Africa,2026-06-18,Czechia,2026-06-28 16:32:59
176,Shawn,1,26,Switzerland,Bosnia and Herzegovina,2026-06-18,Bosnia and Herzegovina,2026-06-28 16:32:59
177,Jennie,2,26,Switzerland,Bosnia and Herzegovina,2026-06-18,Switzerland,2026-06-28 16:32:59
178,Daphne,3,26,Switzerland,Bosnia and Herzegovina,2026-06-18,Switzerland,2026-06-28 16:32:59
179,Elliot,4,26,Switzerland,Bosnia and Herzegovina,2026-06-18,Switzerland,2026-06-28 16:32:59
180,Wyatt,5,26,Switzerland,Bosnia and Herzegovina,2026-06-18,Switzerland,2026-06-28 16:32:59
181,Grandpa By,6,26,Switzerland,Bosnia and Herzegovina,2026-06-18,Switzerland,2026-06-28 16:32:59
182,Grandma Cathy,7,26,Switzerland,Bosnia and Herzegovina,2026-06-18,Switzerland,2026-06-28 16:32:59
183,Shawn,1,27,Canada,Qatar,2026-06-18,Canada,2026-06-28 16:32:59
184,Jennie,2,27,Canada,Qatar,2026-06-18,Canada,2026-06-28 16:32:59
185,Daphne,3,27,Canada,Qatar,2026-06-18,Canada,2026-06-28 16:32:59
186,Elliot,4,27,Canada,Qatar,2026-06-18,Canada,2026-06-28 16:32:59
187,Wyatt,5,27,Canada,Qatar,2026-06-18,Canada,2026-06-28 16:32:59
188,Grandpa By,6,27,Canada,Qatar,2026-06-18,Canada,2026-06-28 16:32:59
189,Grandma Cathy,7,27,Canada,Qatar,2026-06-18,Canada,2026-06-28 16:32:59
190,Shawn,1,28,Mexico,South Korea,2026-06-18,Mexico,2026-06-28 16:32:59
191,Jennie,2,28,Mexico,South Korea,2026-06-18,Mexico,2026-06-28 16:32:59
192,Daphne,3,28,Mexico,South Korea,2026-06-18,Mexico,2026-06-28 16:32:59
193,Elliot,4,28,Mexico,South Korea,2026-06-18,Mexico,2026-06-28 16:32:59
194,Wyatt,5,28,Mexico,South Korea,2026-06-18,Mexico,2026-06-28 16:32:59
195,Grandpa By,6,28,Mexico,South Korea,2026-06-18,Mexico,2026-06-28 16:32:59
196,Grandma Cathy,7,28,Mexico,South Korea,2026-06-18,Mexico,2026-06-28 16:32:59
197,Shawn,1,29,USA,Australia,2026-06-19,USA,2026-06-28 16:32:59
198,Jennie,2,29,USA,Australia,2026-06-19,USA,2026-06-28 16:32:59
199,Daphne,3,29,USA,Australia,2026-06-19,USA,2026-06-28 16:32:59
200,Elliot,4,29,USA,Australia,2026-06-19,USA,2026-06-28 16:32:59
201,Wyatt,5,29,USA,Australia,2026-06-19,USA,2026-06-28 16:32:59
202,Grandpa By,6,29,USA,Australia,2026-06-19,USA,2026-06-28 16:32:59
203,Grandma Cathy,7,29,USA,Australia,2026-06-19,USA,2026-06-28 16:32:59
204,Shawn,1,30,Scotland,Morocco,2026-06-19,Morocco,2026-06-28 16:32:59
205,Jennie,2,30,Scotland,Morocco,2026-06-19,Scotland,2026-06-28 16:32:59
206,Daphne,3,30,Scotland,Morocco,2026-06-19,Scotland,2026-06-28 16:32:59
207,Elliot,4,30,Scotland,Morocco,2026-06-19,Scotland,2026-06-28 16:32:59
208,Wyatt,5,30,Scotland,Morocco,2026-06-19,Scotland,2026-06-28 16:32:59
209,Grandpa By,6,30,Scotland,Morocco,2026-06-19,Scotland,2026-06-28 16:32:59
210,Grandma Cathy,7,30,Scotland,Morocco,2026-06-19,Scotland,2026-06-28 16:32:59
211,Shawn,1,31,Brazil,Haiti,2026-06-19,Brazil,2026-06-28 16:32:59
212,Jennie,2,31,Brazil,Haiti,2026-06-19,Brazil,2026-06-28 16:32:59
213,Daphne,3,31,Brazil,Haiti,2026-06-19,Brazil,2026-06-28 16:32:59
214,Elliot,4,31,Brazil,Haiti,2026-06-19,Brazil,2026-06-28 16:32:59
215,Wyatt,5,31,Brazil,Haiti,2026-06-19,Brazil,2026-06-28 16:32:59
216,Grandpa By,6,31,Brazil,Haiti,2026-06-19,Haiti,2026-06-28 16:32:59
217,Grandma Cathy,7,31,Brazil,Haiti,2026-06-19,Brazil,2026-06-28 16:32:59
218,Shawn,1,32,Türkiye,Paraguay,2026-06-20,Türkiye,2026-06-28 16:32:59
219,Jennie,2,32,Türkiye,Paraguay,2026-06-20,Paraguay,2026-06-28 16:32:59
220,Daphne,3,32,Türkiye,Paraguay,2026-06-20,Paraguay,2026-06-28 16:32:59
221,Elliot,4,32,Türkiye,Paraguay,2026-06-20,Paraguay,2026-06-28 16:32:59
222,Wyatt,5,32,Türkiye,Paraguay,2026-06-20,Türkiye,2026-06-28 16:32:59
223,Grandpa By,6,32,Türkiye,Paraguay,2026-06-20,Paraguay,2026-06-28 16:32:59
224,Grandma Cathy,7,32,Türkiye,Paraguay,2026-06-20,Paraguay,2026-06-28 16:32:59
225,Shawn,1,33,Netherlands,Sweden,2026-06-20,Netherlands,2026-06-28 16:32:59
226,Jennie,2,33,Netherlands,Sweden,2026-06-20,Netherlands,2026-06-28 16:32:59
227,Daphne,3,33,Netherlands,Sweden,2026-06-20,Netherlands,2026-06-28 16:32:59
228,Elliot,4,33,Netherlands,Sweden,2026-06-20,Netherlands,2026-06-28 16:32:59
229,Wyatt,5,33,Netherlands,Sweden,2026-06-20,Sweden,2026-06-28 16:32:59
230,Grandpa By,6,33,Netherlands,Sweden,2026-06-20,Netherlands,2026-06-28 16:32:59
231,Grandma Cathy,7,33,Netherlands,Sweden,2026-06-20,Sweden,2026-06-28 16:32:59
232,Shawn,1,34,Germany,Ivory Coast,2026-06-20,Germany,2026-06-28 16:32:59
233,Jennie,2,34,Germany,Ivory Coast,2026-06-20,Germany,2026-06-28 16:32:59
234,Daphne,3,34,Germany,Ivory Coast,2026-06-20,Germany,2026-06-28 16:32:59
235,Elliot,4,34,Germany,Ivory Coast,2026-06-20,Germany,2026-06-28 16:32:59
236,Wyatt,5,34,Germany,Ivory Coast,2026-06-20,Germany,2026-06-28 16:32:59
237,Grandpa By,6,34,Germany,Ivory Coast,2026-06-20,Germany,2026-06-28 16:32:59
238,Grandma Cathy,7,34,Germany,Ivory Coast,2026-06-20,Germany,2026-06-28 16:32:59
239,Shawn,1,35,Ecuador,Curaçao,2026-06-20,Ecuador,2026-06-28 16:32:59
240,Jennie,2,35,Ecuador,Curaçao,2026-06-20,Ecuador,2026-06-28 16:32:59
241,Daphne,3,35,Ecuador,Curaçao,2026-06-20,Ecuador,2026-06-28 16:32:59
242,Elliot,4,35,Ecuador,Curaçao,2026-06-20,Ecuador,2026-06-28 16:32:59
243,Wyatt,5,35,Ecuador,Curaçao,2026-06-20,Ecuador,2026-06-28 16:32:59
244,Grandpa By,6,35,Ecuador,Curaçao,2026-06-20,Ecuador,2026-06-28 16:32:59
245,Grandma Cathy,7,35,Ecuador,Curaçao,2026-06-20,Ecuador,2026-06-28 16:32:59
246,Shawn,1,36,Tunisia,Japan,2026-06-21,Japan,2026-06-28 16:32:59
247,Jennie,2,36,Tunisia,Japan,2026-06-21,Japan,2026-06-28 16:32:59
248,Daphne,3,36,Tunisia,Japan,2026-06-21,Japan,2026-06-28 16:32:59
249,Elliot,4,36,Tunisia,Japan,2026-06-21,Japan,2026-06-28 16:32:59
250,Wyatt,5,36,Tunisia,Japan,2026-06-21,Japan,2026-06-28 16:32:59
251,Grandpa By,6,36,Tunisia,Japan,2026-06-21,Japan,2026-06-28 16:32:59
252,Grandma Cathy,7,36,Tunisia,Japan,2026-06-21,Japan,2026-06-28 16:32:59
253,Shawn,1,37,Spain,Saudi Arabia,2026-06-21,Spain,2026-06-28 16:32:59
254,Jennie,2,37,Spain,Saudi Arabia,2026-06-21,Spain,2026-06-28 16:32:59
255,Daphne,3,37,Spain,Saudi Arabia,2026-06-21,Spain,2026-06-28 16:32:59
256,Elliot,4,37,Spain,Saudi Arabia,2026-06-21,Spain,2026-06-28 16:32:59
257,Wyatt,5,37,Spain,Saudi Arabia,2026-06-21,Spain,2026-06-28 16:32:59
258,Grandpa By,6,37,Spain,Saudi Arabia,2026-06-21,Spain,2026-06-28 16:32:59
259,Grandma Cathy,7,37,Spain,Saudi Arabia,2026-06-21,Spain,2026-06-28 16:32:59
260,Shawn,1,38,Belgium,Iran,2026-06-21,Belgium,2026-06-28 16:32:59
261,Jennie,2,38,Belgium,Iran,2026-06-21,Belgium,2026-06-28 16:32:59
262,Daphne,3,38,Belgium,Iran,2026-06-21,Belgium,2026-06-28 16:32:59
263,Elliot,4,38,Belgium,Iran,2026-06-21,Belgium,2026-06-28 16:32:59
264,Wyatt,5,38,Belgium,Iran,2026-06-21,Belgium,2026-06-28 16:32:59
265,Grandpa By,6,38,Belgium,Iran,2026-06-21,Belgium,2026-06-28 16:32:59
266,Grandma Cathy,7,38,Belgium,Iran,2026-06-21,Belgium,2026-06-28 16:32:59
267,Shawn,1,39,Uruguay,Cape Verde,2026-06-21,Uruguay,2026-06-28 16:32:59
268,Jennie,2,39,Uruguay,Cape Verde,2026-06-21,Cape Verde,2026-06-28 16:32:59
269,Daphne,3,39,Uruguay,Cape Verde,2026-06-21,Uruguay,2026-06-28 16:32:59
270,Elliot,4,39,Uruguay,Cape Verde,2026-06-21,Cape Verde,2026-06-28 16:32:59
271,Wyatt,5,39,Uruguay,Cape Verde,2026-06-21,Uruguay,2026-06-28 16:32:59
272,Grandpa By,6,39,Uruguay,Cape Verde,2026-06-21,Uruguay,2026-06-28 16:32:59
273,Grandma Cathy,7,39,Uruguay,Cape Verde,2026-06-21,Cape Verde,2026-06-28 16:32:59
274,Shawn,1,40,New Zealand,Egypt,2026-06-21,Egypt,2026-06-28 16:32:59
275,Jennie,2,40,New Zealand,Egypt,2026-06-21,New Zealand,2026-06-28 16:32:59
276,Daphne,3,40,New Zealand,Egypt,2026-06-21,New Zealand,2026-06-28 16:32:59
277,Elliot,4,40,New Zealand,Egypt,2026-06-21,New Zealand,2026-06-28 16:32:59
278,Wyatt,5,40,New Zealand,Egypt,2026-06-21,Egypt,2026-06-28 16:32:59
279,Grandpa By,6,40,New Zealand,Egypt,2026-06-21,New Zealand,2026-06-28 16:32:59
280,Grandma Cathy,7,40,New Zealand,Egypt,2026-06-21,Egypt,2026-06-28 16:32:59
281,Shawn,1,41,Argentina,Austria,2026-06-22,Argentina,2026-06-28 16:32:59
282,Jennie,2,41,Argentina,Austria,2026-06-22,Argentina,2026-06-28 16:32:59
283,Daphne,3,41,Argentina,Austria,2026-06-22,Argentina,2026-06-28 16:32:59
284,Shawn,1,42,France,Iraq,2026-06-22,France,2026-06-28 16:32:59
285,Jennie,2,42,France,Iraq,2026-06-22,France,2026-06-28 16:32:59
286,Daphne,3,42,France,Iraq,2026-06-22,France,2026-06-28 16:32:59
287,Jennie,2,43,Norway,Senegal,2026-06-22,Senegal,2026-06-28 16:32:59
288,Daphne,3,43,Norway,Senegal,2026-06-22,Norway,2026-06-28 16:32:59
289,Shawn,1,44,Jordan,Algeria,2026-06-22,Algeria,2026-06-28 16:32:59
290,Jennie,2,44,Jordan,Algeria,2026-06-22,Algeria,2026-06-28 16:32:59
291,Daphne,3,44,Jordan,Algeria,2026-06-22,Algeria,2026-06-28 16:32:59
292,Shawn,1,45,Portugal,Uzbekistan,2026-06-23,Portugal,2026-06-28 16:32:59
